Campaign ID,Campaign Name,Campaign Code,Code Used,Code Quota,Campaign Start Date,Campaign End Date,Promo Duration
439,CEBAN SEPTEMBER,MOVIECEBAN,1,200,"September 25, 2018, 00:00","October 10, 2018, 23:59",15 days
466,DOKU  CEBAN,PULSACEBAN1,488,500,"January 25, 2019, 00:00","February 10, 2019, 23:59",16 days
292,Pasar GENIT x bonusDOKU - Spotify,BONUSSPOTIFY,1,200,"October 27, 2017, 00:00","December 5, 2017, 23:59",39 days
167,TEST XL 8,TESTXL8,0,1,"November 3, 2016, 00:00","November 4, 2016, 23:59",1 days
68,test red,TR10,1,1,"March 17, 2016, 00:00","March 18, 2016, 23:59",1 days
478,DOKU CEBAN,CEBANMOVIE2,30,500,"February 25, 2019, 00:00","March 10, 2019, 23:59",13 days
608,HAPPYDIRUMAH,HappyK24,0,500,"March 27, 2020, 00:00","April 20, 2020, 23:59",24 days
748,LORDOKU,UNIPINLORDOKU,0,500,"December 27, 2021, 00:00","January 10, 2022, 23:59",14 days
100,SUKA ERAFONE EXTEND,SUKADOKU1,30,30,"June 6, 2016, 00:00","June 30, 2016, 23:59",24 days
736,CEBAN,CEBANGAMESOCT,15,"1,000","October 25, 2021, 00:00","November 10, 2021, 23:59",16 days
762,SILIHAICEBAN,SILIHAICEBAN,"1,482","1,500","January 25, 2022, 00:00","February 10, 2022, 23:59",16 days
924,DOKU SOBAT PEJUANG,BITTIMEPEJUANG,100,100,"August 17, 2024, 00:00","September 17, 2024, 23:59",31 days
745,CEBAN,CEBANTAGIHANLIBURAN,749,750,"December 25, 2021, 00:00","January 10, 2022, 23:59",16 days
852,CEBAN ,CEBANGAMEJUNI,"1,500","1,500","May 25, 2023, 00:00","June 10, 2023, 23:59",16 days
864,TDIF,TDIFCODA,2,500,"August 11, 2023, 00:00","August 20, 2023, 23:59",9 days
444,CEBAN OKTOBER ,PULSACEBAN10,0,500,"October 25, 2018, 00:00","November 10, 2018, 23:59",16 days
37,WACOAL BREMI,BREMIWC,1,10,"February 5, 2016, 00:00","February 6, 2016, 23:59",1 days
499,DOKU CEBAN,CEBANTAGIHAN04,473,500,"April 29, 2019, 00:00","May 10, 2019, 23:59",11 days
703,CEBAN,CEBANTAGIHANJUNI,747,750,"June 25, 2021, 00:00","July 10, 2021, 23:59",15 days
88,testEB,EPOY123,1,2,"May 20, 2016, 00:00","May 21, 2016, 23:59",1 days
446,CEBAN OKTOBER ,CEBANPULSA10,496,500,"October 25, 2018, 00:00","November 10, 2018, 23:59",16 days
646,CEBAN,PULSACEBAN007,285,500,"June 25, 2020, 00:00","July 10, 2020, 23:59",15 days
324,DOKU PulsaData CEBAN,PULSACEBAN,"1,440","1,500","January 25, 2018, 00:00","February 5, 2018, 23:59",11 days
99,SUKA EZBUY EXTEND,SUKAEZBUY1,1,300,"June 6, 2016, 00:00","July 31, 2016, 23:59",55 days
477,DOKU CEBAN ,MOVIECEBAN2 ,0,500,"February 25, 2019, 00:00","March 10, 2019, 23:59",13 days
565,DOKU JALAN JALAN,DOKUJALANJALAN,6,500,"December 10, 2019, 00:00","December 31, 2019, 23:59",21 days
737,ISOMEN,BETHSAIDADOKU,0,250,"November 15, 2021, 00:00","December 15, 2021, 23:59",30 days
460,CEBAN DESEMBER ,TAGIHANCEBAN12,279,500,"December 25, 2018, 00:00","January 10, 2019, 23:59",16 days
